id;invitername;workspaces;invitertime;email;inviterid;status
1;velvety gate;very dimple spool;narrow;Betsy_Mitchell9@hotmail.com;queasily atop hmph;madly rearm
2;concerning zealous beneath;ha splutter nimble;restfully;Kelly78@yahoo.com;eek;thunderous
3;likewise internal;briefly perforate;humongous authorize plus;Unique.Hermiston88@yahoo.com;rundown roam;beside until
4;unless oof;evenly;eek until why;Meta.Kunde23@gmail.com;for;indolent lest
5;duckie;serpentine large feminise;oh wherever doubling;Tia.Cartwright@gmail.com;ah male;wonderfully
6;nor equally;ill-informed trifling;likewise nearly lest;Daryl.Walker98@hotmail.com;highly drat;when
7;furthermore;drat;aw;Moses.Medhurst@gmail.com;once;dearly oof trim
8;but phooey;enormously by;solicit come;Ludie_McDermott98@hotmail.com;incandescence;ouch mmm geez
9;whoever jolly onto;beautiful;knowledgeably plantation;Ellis.Ziemann8@yahoo.com;dearly upbeat inasmuch;how
10;mmm yowza;interpretation;whet wherever excepting;Vidal.Hammes@hotmail.com;which reprint ugly;overexpose jaggedly instead
